pente	bias	maePente	maebiais	mae
-50	-50	2344.4939495541034	26.885302277350878	85.14923119683164
-50	-49	2344.9939495541034	25.885302277350878	90.04923119683164
-50	-48	2345.4939495541034	24.88530227735088	94.94923119683163
-50	-47	2345.9939495541034	23.88530227735088	99.84923119683164
-50	-46	2346.4939495541034	22.88530227735088	104.74923119683163
-50	-45	2346.9939495541034	21.88530227735088	109.64923119683162
-50	-44	2347.4939495541034	20.88530227735088	114.54923119683163
-50	-43	2347.9939495541034	19.88530227735088	119.44923119683162
-50	-42	2348.4939495541034	18.88530227735088	124.34923119683162
-50	-41	2348.9939495541034	17.88530227735088	129.24923119683163
-50	-40	2349.4939495541034	16.88530227735088	134.14923119683164
-50	-39	2349.9939495541034	15.885302277350883	139.0492311968316
-50	-38	2350.4939495541034	14.885302277350883	143.94923119683162
-50	-37	2350.9939495541034	13.885302277350883	148.84923119683162
-50	-36	2351.4939495541034	12.885302277350883	153.74923119683163
-50	-35	2351.9939495541034	11.885302277350883	158.64923119683164
-50	-34	2352.4939495541034	10.885302277350883	163.5492311968316
-50	-33	2352.9939495541034	9.885302277350883	168.44923119683162
-50	-32	2353.4939495541034	8.885302277350883	173.34923119683162
-50	-31	2353.9939495541034	7.885302277350883	178.24923119683163
-50	-30	2354.4939495541034	6.885302277350883	183.14923119683164
-50	-29	2354.9939495541034	5.885302277350883	188.0492311968316
-50	-28	2355.4939495541034	4.885302277350883	192.94923119683162
-50	-27	2355.9939495541034	3.8853022773508825	197.84923119683162
-50	-26	2356.4939495541034	2.8853022773508825	202.74923119683163
-50	-25	2356.9939495541034	1.8853022773508825	207.64923119683164
-50	-24	2357.4939495541034	0.8853022773508826	212.5492311968316
-50	-23	2357.9939495541034	0.1146977226491174	217.44923119683162
-50	-22	2358.4939495541034	1.1146977226491175	222.34923119683162
-50	-21	2358.9939495541034	2.1146977226491175	227.24923119683163
-50	-20	2359.4939495541034	3.1146977226491175	232.14923119683164
-50	-19	2359.9939495541034	4.114697722649117	237.04923119683167
-50	-18	2360.4939495541034	5.114697722649114	241.94923119683168
-50	-17	2360.9939495541034	6.114697722649114	246.84923119683168
-50	-16	2361.4939495541034	7.114697722649114	251.74923119683166
-50	-15	2361.9939495541034	8.114697722649115	256.6492311968317
-50	-14	2362.4939495541034	9.114697722649115	261.54923119683167
-50	-13	2362.9939495541034	10.114697722649115	266.44923119683165
-50	-12	2363.4939495541034	11.114697722649115	271.3492311968317
-50	-11	2363.9939495541034	12.114697722649115	276.24923119683166
-50	-10	2364.4939495541034	13.114697722649115	281.1492311968317
-50	-9	2364.9939495541034	14.114697722649115	286.04923119683156
-50	-8	2365.4939495541034	15.114697722649115	290.9492311968316
-50	-7	2365.9939495541034	16.114697722649115	295.84923119683157
-50	-6	2366.4939495541034	17.114697722649115	300.7492311968316
-50	-5	2366.9939495541034	18.114697722649115	305.6492311968316
-50	-4	2367.4939495541034	19.114697722649115	310.54923119683156
-50	-3	2367.9939495541034	20.114697722649115	315.4492311968316
-50	-2	2368.4939495541034	21.114697722649115	320.34923119683157
-50	-1	2368.9939495541034	22.114697722649115	325.2492311968316
-50	0	2369.4939495541034	23.114697722649115	330.1492311968316
-50	1	2369.9939495541034	24.114697722649115	335.04923119683156
