pente	bias	maePente	maebiais	mae
-50	-50	233559.11177823198	48.8971288067124	854.7936127338721
-50	-49	233559.61177823198	47.8971288067124	804.8036127338721
-50	-48	233560.11177823198	46.8971288067124	754.8136127338745
-50	-47	233560.61177823198	45.8971288067124	704.8236127338721
-50	-46	233561.11177823198	44.8971288067124	654.8336127338721
-50	-45	233561.61177823198	43.8971288067124	604.8436127338722
-50	-44	233562.11177823198	42.8971288067124	554.8536127338722
-50	-43	233562.61177823198	41.8971288067124	504.86361273387445
-50	-42	233563.11177823198	40.8971288067124	454.8736127338745
-50	-41	233563.61177823198	39.8971288067124	404.8836127338745
-50	-40	233564.11177823198	38.8971288067124	354.8936127338745
-50	-39	233564.61177823198	37.8971288067124	304.90361273387447
-50	-38	233565.11177823198	36.8971288067124	254.91361273387446
-50	-37	233565.61177823198	35.8971288067124	204.92361273387448
-50	-36	233566.11177823198	34.8971288067124	154.93361273387447
-50	-35	233566.61177823198	33.8971288067124	104.94361273387447
-50	-34	233567.11177823198	32.8971288067124	54.95361273387447
-50	-33	233567.61177823198	31.8971288067124	4.963612733873306
-50	-32	233568.11177823198	30.8971288067124	45.0263872661267
-50	-31	233568.61177823198	29.8971288067124	95.0163872661267
-50	-30	233569.11177823198	28.8971288067124	145.0063872661267
-50	-29	233569.61177823198	27.8971288067124	195.00299048693034
-50	-28	233570.11177823198	26.8971288067124	245.00299048693034
-50	-27	233570.61177823198	25.8971288067124	295.00299048693034
-50	-26	233571.11177823198	24.8971288067124	345.00299048693034
-50	-25	233571.61177823198	23.8971288067124	395.00299048693034
-50	-24	233572.11177823198	22.89712880671238	445.00299048693034
-50	-23	233572.61177823198	21.89712880671238	495.00299048693034
-50	-22	233573.11177823198	20.89712880671238	545.0029904869303
-50	-21	233573.61177823198	19.8971288067124	595.0029904869303
-50	-20	233574.11177823198	18.8971288067124	645.0029904869303
-50	-19	233574.61177823198	17.8971288067124	695.0029904869303
-50	-18	233575.11177823198	16.897128806712363	745.0029904869303
-50	-17	233575.61177823198	15.897128806712363	795.0029904869303
-50	-16	233576.11177823198	14.897128806712363	845.0029904869303
-50	-15	233576.61177823198	13.897128806712363	895.0029904869303
-50	-14	233577.11177823198	12.897128806712363	945.0029904869303
-50	-13	233577.61177823198	11.897128806712363	995.0029904869303
-50	-12	233578.11177823198	10.897128806712363	1045.0029904869305
-50	-11	233578.61177823198	9.897128806712363	1095.0029904869305
-50	-10	233579.11177823198	8.897128806712363	1145.0029904869305
-50	-9	233579.61177823198	7.897128806712371	1195.0029904869305
-50	-8	233580.11177823198	6.897128806712335	1245.0029904869305
-50	-7	233580.61177823198	5.897128806712335	1295.0029904869305
-50	-6	233581.11177823198	4.897128806712335	1345.0029904869305
-50	-5	233581.61177823198	3.897128806712335	1395.0029904869305
-50	-4	233582.11177823198	2.897128806712335	1445.0029904869305
-50	-3	233582.61177823198	1.897128806712335	1495.002990486928
-50	-2	233583.11177823198	0.8971288067123351	1545.0029904869275
-50	-1	233583.61177823198	0.10287119328766493	1595.0029904869275
-50	0	233584.11177823198	1.102871193287665	1645.0029904869252
-50	1	233584.61177823198	2.102871193287665	1695.0029904869252
-50	2	233585.11177823198	3.102871193287665	1745.0029904869252
-50	3	233585.61177823198	4.102871193287665	1795.0029904869252
-50	4	233586.11177823198	5.102871193287665	1845.0029904869252
-50	5	233586.61177823198	6.102871193287665	1895.0029904869252
-50	6	233587.11177823198	7.102871193287665	1945.0029904869252
-50	7	233587.61177823198	8.102871193287665	1995.0029904869252
-50	8	233588.11177823198	9.102871193287665	2045.0029904869252
-50	9	233588.61177823198	10.102871193287665	2095.0029904869252
-50	10	233589.11177823198	11.102871193287665	2145.0029904869252
-50	11	233589.61177823198	12.102871193287665	2195.0029904869252
-50	12	233590.11177823198	13.102871193287665	2245.0029904869252
-50	13	233590.61177823198	14.102871193287669	2295.0029904869252
-50	14	233591.11177823198	15.102871193287688	2345.0029904869252
-50	15	233591.61177823198	16.102871193287687	2395.0029904869252
-50	16	233592.11177823198	17.102871193287687	2445.0029904869252
-50	17	233592.61177823198	18.102871193287687	2495.0029904869252
-50	18	233593.11177823198	19.102871193287683	2545.0029904869252
-50	19	233593.61177823198	20.102871193287648	2595.0029904869252
-50	20	233594.11177823198	21.102871193287648	2645.0029904869252
-50	21	233594.61177823198	22.102871193287648	2695.0029904869252
-50	22	233595.11177823198	23.102871193287648	2745.0029904869252
-50	23	233595.61177823198	24.102871193287648	2795.0029904869252
-50	24	233596.11177823198	25.102871193287648	2845.0029904869252
-50	25	233596.61177823198	26.102871193287648	2895.0029904869252
-50	26	233597.11177823198	27.102871193287648	2945.0029904869293
-50	27	233597.61177823198	28.102871193287648	2995.0029904869293
-50	28	233598.11177823198	29.102871193287612	3045.0029904869293
-50	29	233598.61177823198	30.102871193287612	3095.00299048693
-50	30	233599.11177823198	31.102871193287612	3145.00299048693
-50	31	233599.61177823198	32.10287119328761	3195.00299048693
-50	32	233600.11177823198	33.102871193287626	3245.00299048693
-50	33	233600.61177823198	34.102871193287626	3295.00299048693
-50	34	233601.11177823198	35.102871193287626	3345.00299048693
-50	35	233601.61177823198	36.102871193287626	3395.00299048693
-50	36	233602.11177823198	37.102871193287626	3445.00299048693
-50	37	233602.61177823198	38.102871193287626	3495.0029904869252
-50	38	233603.11177823198	39.102871193287626	3545.00299048693
-50	39	233603.61177823198	40.102871193287626	3595.0029904869275
-50	40	233604.11177823198	41.102871193287626	3645.0029904869275
-50	41	233604.61177823198	42.102871193287626	3695.0029904869275
-50	42	233605.11177823198	43.102871193287626	3745.0029904869275
-50	43	233605.61177823198	44.102871193287626	3795.002990486927
-50	44	233606.11177823198	45.102871193287626	3845.002990486927
-50	45	233606.61177823198	46.102871193287626	3895.002990486927
-50	46	233607.11177823198	47.102871193287626	3945.0029904869293
-50	47	233607.61177823198	48.10287119328764	3995.0029904869293
-50	48	233608.11177823198	49.10287119328764	4045.0029904869293
-50	49	233608.61177823192	50.10287119328764	4095.0029904869293
-49	-50	230225.611778232	49.3971288067124	904.7836127338721
-49	-49	230226.111778232	48.3971288067124	854.7936127338721
-49	-48	230226.611778232	47.3971288067124	804.8036127338721
-49	-47	230227.111778232	46.3971288067124	754.8136127338721
-49	-46	230227.611778232	45.3971288067124	704.8236127338721
-49	-45	230228.111778232	44.3971288067124	654.8336127338745
-49	-44	230228.611778232	43.3971288067124	604.8436127338745
-49	-43	230229.111778232	42.3971288067124	554.8536127338722
-49	-42	230229.611778232	41.3971288067124	504.86361273387445
-49	-41	230230.111778232	40.3971288067124	454.8736127338745
-49	-40	230230.611778232	39.3971288067124	404.8836127338745
-49	-39	230231.111778232	38.3971288067124	354.8936127338745
-49	-38	230231.611778232	37.3971288067124	304.90361273387447
-49	-37	230232.111778232	36.3971288067124	254.91361273387446
-49	-36	230232.611778232	35.3971288067124	204.92361273387448
-49	-35	230233.111778232	34.3971288067124	154.93361273387447
-49	-34	230233.611778232	33.3971288067124	104.94361273387447
-49	-33	230234.111778232	32.3971288067124	54.95361273387331
-49	-32	230234.611778232	31.3971288067124	4.963612733873306
