pente	biais	maeEvol
59.9875	-20.0	4499.274875000001
-6.014149133663352	14.65037128712872	533.2260210396005
36.48682690922966	15.798569574570928	1534.4128667329317
9.81212785665679	26.69094174544324	343.9406944393218
26.129390203506354	25.833325495667857	514.803235391925
16.408072325196663	29.27352552296412	143.27265988837107
22.047780464481384	28.7697718449203	163.9004309780521
18.863998081496945	29.821000303570816	47.85011110369399
20.612508699661014	29.64138223370038	48.55632329803197
19.678978226954147	29.945341760602602	13.318176682420795
20.163351446859686	29.897428250321386	13.296159826916359
19.91928996765337	29.980000940341313	3.035548634399322
20.038668258915745	29.97096850142208	3.3849878746849154
19.982031795516257	29.992217035644774	0.5092620064222246
20.008084192984	29.991694562903426	0.8194792915899554
19.996476298601447	29.997012333689412	0.026801754395390915
20.001484391162986	29.99753503449786	0.197458027515178
19.9993947889064	29.99888906180651	0.025281297724232345
20.000237877134406	29.999226951850645	0.05053318409608627
19.999909533423633	29.999596118355125	0.015657505232440024
20.000033025823026	29.99974308249388	0.014471465704352919
19.99998830789028	29.99985401733881	0.006676659812733643
20.000003935013577	29.99991030994778	0.004603671220891368
19.999998700126536	29.99994676407411	0.0024480600128075915
20.00000039595733	29.99996747154602	0.0012803708132605963
19.999999874998718	29.999980231065752	4.068073072789069E-4
