pente	biais	MAEpentre	maeBiais
3.9559978200972044E-4	2.867552746458438E-4	-66653.68141150434	-19.99991104461637
3.99961648447227	1.2002814179516281	-53322.87858972066	-20.799526824284495
7.198989199855509	2.4482530274086978	-42658.39362879537	-21.151241572519037
9.758492817583232	3.71732752175984	-34126.922856347184	-21.161918887031806
11.806108188964062	4.987042654981749	-27301.831873415784	-20.91601143950027
13.444218101369009	6.242003341351765	-21841.819960757097	-20.48010570933271
14.754727299014434	7.470809683911728	-17473.851953577352	-19.906553965595474
15.803158416229074	8.665202921847456	-13979.504020961314	-19.236376286267085
16.64192865748675	9.81938549902348	-11184.040513017424	-18.501578829719943
17.312971088267798	10.929480228806678	-8947.675617373712	-17.727005315327247
17.84983162531022	11.993100547726314	-7158.582827302244	-16.93181526492882
18.279346594948354	13.009009463622043	-5727.302630471472	-16.130663833852115
18.62298475277664	13.976849293653169	-4582.268751265892	-15.334643082735147
18.897920877852595	14.896927878617278	-3666.2292176176834	-14.552032560308989
19.117894630909657	15.770049832235818	-2933.3832727787767	-13.788897483219005
19.293897627276383	16.59738368122896	-2347.0909513147917	-13.049565132409287
19.43472308435527	17.380357589173517	-1878.0407770962954	-12.337003953004071
19.54740553098105	18.120577826353763	-1502.7839513878507	-11.653124939136733
19.63757256806432	18.81976532270197	-1202.5617270189352	-10.99902096133023
19.709726271685458	19.479706580381784	-962.3673266267168	-10.375156555460926
19.76746831128306	20.102215973709438	-770.1954923247719	-9.781518181932071
19.813680040822547	20.68910706462536	-616.4421374503527	-9.217732955785886
19.850666569069567	21.242171041972515	-493.4240775275851	-8.683162242562235
19.88027201372122	21.76316077652625	-394.9948226485719	-8.176975230334333
19.903971703080135	22.25377929034631	-316.237217427543	-7.698206561193768
19.92294593612579	22.715671684017934	-253.21755776669193	-7.245801284044964
19.938138989591792	23.150419761060633	-202.78888807629167	-6.8186497337352305
19.95030632287637	23.559538745084748	-162.4336420641674	-6.415614416353484
19.960052341400218	23.944475610065957	-130.13775774740756	-6.0355505606341895
